ProductID,Total_Products_Sold
5	,	93
3	,	13
5	,	86
5	,	45
4	,	73
5	,	89
5	,	40
5	,	89
3	,	21
5	,	94
5	,	56
2	,	28
5	,	78
4	,	20
2	,	56
5	,	56
4	,	59
5	,	46
3	,	46
5	,	55
5	,	23
2	,	75
3	,	57
3	,	39
2	,	79
3	,	35
3	,	36
3	,	36
2	,	13
3	,	27
5	,	48
1	,	99
4	,	26
2	,	71
3	,	68
1	,	99
4	,	81
4	,	14
3	,	57
5	,	39
5	,	39
1	,	55
4	,	72
4	,	12
1	,	77
5	,	78
2	,	69
5	,	95
5	,	52
5	,	62
4	,	53
4	,	13
4	,	48
4	,	19
5	,	32
2	,	39
4	,	33
5	,	13
4	,	10
3	,	81
1	,	46
5	,	84
4	,	89
4	,	73
1	,	35
5	,	38
5	,	46
3	,	46
2	,	62
1	,	92
3	,	74
1	,	24
4	,	20
5	,	69
5	,	50
5	,	98
3	,	43
5	,	24
1	,	82
5	,	55
4	,	43
2	,	30
4	,	84
2	,	35
5	,	48
5	,	70
5	,	46
5	,	79
4	,	30
4	,	89
5	,	29
5	,	53
3	,	97
5	,	80
5	,	30
5	,	31
5	,	69
5	,	46
1	,	46
5	,	74
3	,	26
4	,	98
4	,	11
1	,	25
4	,	71
5	,	53
5	,	87
5	,	31
5	,	42
4	,	30
5	,	54
2	,	45
4	,	59
5	,	20
5	,	87
5	,	71
4	,	17
5	,	36
3	,	78
4	,	91
5	,	98
5	,	47
4	,	23
5	,	60
4	,	71
3	,	34
4	,	68
1	,	59
1	,	73
1	,	14
5	,	66
5	,	12
2	,	61
2	,	42
5	,	20
4	,	51
4	,	68
5	,	46
2	,	43
4	,	90
5	,	53
1	,	50
5	,	31
2	,	26
5	,	37
3	,	85
4	,	97
5	,	92
1	,	78
5	,	84
4	,	89
4	,	17
5	,	94
1	,	77
1	,	23
3	,	11
5	,	81
5	,	88
4	,	17
4	,	66
4	,	59
5	,	46
3	,	41
4	,	69
4	,	43
4	,	95
5	,	100
4	,	32
1	,	22
2	,	10
5	,	18
4	,	16
4	,	45
3	,	84
2	,	64
5	,	88
3	,	50
2	,	82
4	,	39
4	,	99
5	,	61
4	,	71
4	,	44
1	,	68
5	,	83
5	,	19
5	,	93
4	,	95
1	,	48
5	,	93
4	,	85
5	,	67
5	,	12
1	,	92
5	,	31
5	,	33
1	,	37
4	,	96
5	,	70
5	,	24
3	,	83
5	,	97
5	,	83
2	,	83
3	,	33
5	,	80
4	,	27
4	,	93
5	,	100
1	,	53
5	,	44
3	,	38
4	,	93
1	,	35
3	,	10
5	,	82
1	,	42
5	,	53
5	,	19
5	,	66
5	,	31
5	,	100
3	,	68
4	,	14
5	,	35
1	,	51
5	,	89
5	,	15
5	,	38
4	,	40
1	,	47
1	,	56
2	,	91
5	,	22
1	,	74
3	,	91
4	,	48
5	,	98
3	,	15
1	,	61
4	,	16
1	,	51
4	,	99
4	,	23
5	,	18
5	,	55
5	,	81
5	,	92
1	,	83
5	,	93
3	,	26
5	,	92
5	,	18
2	,	40
4	,	38
3	,	77
5	,	47
5	,	59
1	,	26
5	,	51
5	,	21
5	,	27
1	,	68
5	,	78
5	,	93
5	,	36
5	,	66
5	,	78
3	,	25
5	,	41
5	,	83
5	,	81
3	,	35
3	,	57
5	,	76
5	,	77
1	,	78
1	,	91
5	,	91
4	,	19
3	,	91
5	,	94
4	,	50
4	,	69
4	,	26
5	,	90
4	,	22
4	,	95
4	,	34
5	,	30
1	,	26
3	,	98
4	,	66
1	,	51
5	,	67
5	,	40
5	,	30
3	,	37
4	,	27
2	,	55
5	,	91
4	,	87
5	,	83
5	,	93
2	,	59
4	,	51
5	,	25
4	,	53
5	,	42
3	,	36
5	,	67
5	,	67
2	,	91
5	,	30
3	,	60
5	,	64
5	,	11
2	,	74
4	,	91
4	,	43
5	,	92
4	,	99
4	,	66
1	,	65
5	,	17
5	,	99
5	,	28
4	,	58
5	,	43
5	,	68
5	,	58
1	,	47
5	,	37
3	,	61
4	,	37
1	,	16
5	,	32
5	,	25
4	,	86
3	,	27
3	,	94
4	,	87
3	,	37
4	,	84
3	,	25
2	,	96
4	,	63
4	,	32
5	,	100
1	,	75
3	,	37
4	,	85
1	,	68
5	,	54
5	,	54
5	,	93
4	,	84
5	,	67
5	,	22
5	,	72
5	,	95
5	,	63
4	,	84
5	,	61
4	,	22
4	,	14
4	,	89
5	,	73
5	,	60
4	,	96
5	,	95
4	,	96
1	,	13
1	,	79
1	,	34
4	,	24
5	,	67
3	,	25
4	,	50
3	,	38
5	,	13
4	,	32
5	,	44
1	,	62
5	,	19
1	,	91
4	,	78
3	,	86
1	,	76
5	,	85
2	,	30
5	,	25
5	,	19
5	,	86
5	,	99
5	,	72
1	,	51
3	,	69
4	,	45
4	,	45
5	,	19
1	,	72
5	,	47
5	,	69
5	,	22
3	,	90
4	,	24
3	,	95
5	,	24
2	,	73
5	,	90
3	,	25
1	,	15
1	,	71
4	,	30
2	,	27
5	,	62
4	,	29
4	,	48
5	,	68
5	,	56
5	,	15
3	,	30
4	,	48
2	,	90
4	,	20
5	,	99
4	,	85
4	,	86
2	,	15
1	,	12
4	,	27
5	,	61
4	,	38
1	,	83
1	,	97
4	,	29
2	,	60
5	,	95
3	,	52
2	,	20
5	,	72
4	,	12
4	,	66
1	,	54
1	,	94
4	,	49
5	,	57
3	,	82
3	,	16
5	,	96
5	,	11
4	,	13
1	,	55
4	,	44
4	,	46
5	,	59
1	,	64
5	,	62
5	,	71
5	,	28
5	,	94
1	,	68
5	,	60
4	,	69
5	,	57
5	,	34
2	,	84
5	,	10
2	,	88
5	,	45
4	,	74
5	,	45
2	,	78
1	,	93
1	,	88
1	,	95
4	,	34
3	,	100
1	,	75
4	,	51
3	,	22
4	,	82
5	,	69
1	,	34
4	,	26
1	,	71
5	,	70
1	,	53
5	,	22
3	,	82
2	,	25
4	,	37
5	,	30
4	,	55
2	,	16
1	,	26
5	,	33
5	,	94
5	,	93
5	,	77
1	,	43
1	,	13
1	,	52
4	,	79
1	,	95
2	,	32
2	,	61
3	,	63
5	,	97
5	,	63
5	,	72
3	,	21
5	,	68
5	,	71
2	,	25
1	,	80
4	,	39
5	,	36
2	,	63
5	,	35
5	,	92
4	,	53
4	,	73
1	,	83
1	,	91
4	,	54
4	,	52
4	,	55
2	,	91
5	,	17
5	,	27
1	,	72
4	,	27
4	,	25
4	,	20
4	,	69
5	,	41
5	,	44
3	,	10
1	,	67
1	,	16
4	,	99
4	,	15
2	,	50
5	,	12
5	,	11
3	,	88
5	,	49
4	,	94
4	,	65
4	,	41
1	,	45
4	,	46
1	,	39
5	,	87
1	,	10
1	,	20
5	,	77
5	,	93
5	,	62
5	,	72
5	,	35
3	,	26
5	,	86
5	,	22
5	,	77
4	,	22
3	,	20
4	,	84
5	,	87
5	,	34
4	,	80
2	,	13
3	,	14
4	,	69
5	,	64
1	,	20
5	,	39
4	,	60
2	,	70
4	,	21
1	,	29
2	,	48
5	,	36
2	,	62
5	,	83
5	,	66
2	,	96
4	,	52
5	,	96
5	,	65
5	,	90
2	,	88
5	,	70
4	,	47
4	,	32
2	,	36
4	,	65
5	,	55
4	,	97
5	,	58
2	,	44
4	,	30
5	,	20
5	,	91
2	,	78
4	,	81
5	,	65
4	,	80
4	,	37
5	,	89
3	,	65
3	,	66
4	,	73
5	,	81
3	,	10
5	,	54
4	,	79
5	,	18
1	,	13
5	,	48
5	,	99
5	,	62
5	,	92
5	,	16
5	,	54
1	,	54
3	,	84
4	,	22
5	,	27
1	,	47
5	,	95
4	,	49
2	,	80
5	,	80
3	,	51
5	,	37
5	,	95
5	,	30
3	,	70
4	,	76
5	,	80
4	,	21
4	,	96
5	,	88
3	,	46
2	,	100
5	,	36
5	,	69
4	,	94
5	,	15
4	,	18
5	,	78
5	,	86
2	,	46
2	,	13
3	,	16
4	,	96
3	,	81
5	,	92
1	,	28
5	,	89
4	,	25
4	,	89
1	,	99
3	,	39
4	,	70
5	,	35
2	,	88
5	,	97
4	,	84
5	,	17
5	,	65
1	,	82
4	,	68
5	,	27
4	,	63
4	,	51
1	,	37
2	,	78
5	,	16
4	,	52
5	,	27
5	,	34
3	,	33
4	,	10
4	,	28
4	,	73
5	,	98
3	,	32
5	,	41
5	,	25
5	,	59
5	,	80
3	,	48
4	,	95
5	,	46
5	,	11
5	,	25
5	,	99
5	,	85
5	,	88
5	,	32
3	,	70
5	,	78
5	,	34
5	,	47
5	,	37
4	,	98
2	,	58
1	,	16
1	,	40
4	,	46
5	,	98
3	,	51
3	,	44
5	,	20
5	,	70
1	,	39
5	,	85
3	,	44
4	,	52
2	,	69
1	,	23
5	,	79
1	,	97
4	,	26
1	,	64
4	,	96
3	,	67
2	,	27
2	,	34
5	,	95
1	,	88
4	,	60
4	,	18
4	,	96
5	,	84
5	,	90
4	,	82
1	,	75
1	,	11
5	,	69
5	,	22
3	,	28
5	,	21
5	,	89
4	,	95
1	,	57
4	,	34
5	,	34
5	,	48
2	,	15
3	,	68
1	,	54
3	,	81
5	,	11
5	,	95
5	,	83
4	,	63
3	,	45
4	,	21
2	,	97
5	,	50
5	,	20
5	,	50
4	,	27
1	,	72
1	,	98
4	,	97
1	,	14
4	,	100
2	,	99
5	,	92
4	,	90
4	,	49
5	,	82
5	,	87
3	,	79
5	,	81
3	,	25
5	,	83
3	,	13
4	,	65
2	,	85
4	,	93
1	,	16
4	,	30
1	,	70
5	,	82
1	,	40
1	,	25
1	,	10
5	,	38
5	,	20
4	,	52
1	,	30
5	,	92
1	,	91
4	,	50
5	,	43
4	,	36
5	,	91
2	,	81
5	,	12
4	,	34
2	,	69
4	,	22
4	,	60
1	,	88
4	,	75
5	,	30
5	,	29
2	,	28
3	,	90
5	,	81
3	,	17
1	,	49
1	,	27
2	,	78
5	,	65
4	,	19
1	,	15
3	,	49
5	,	61
1	,	88
4	,	54
1	,	24
4	,	14
3	,	85
5	,	56
4	,	13
4	,	81
1	,	67
2	,	79
4	,	78
5	,	39
5	,	18
2	,	39
5	,	33
4	,	14
4	,	56
5	,	51
5	,	32
5	,	44
4	,	81
5	,	53
5	,	83
4	,	80
1	,	41
4	,	11
2	,	96
4	,	12
3	,	84
5	,	51
5	,	83
4	,	85
4	,	18
2	,	67
2	,	23
5	,	39
5	,	60
3	,	86
1	,	97
5	,	12
4	,	53
4	,	95
4	,	23
5	,	19
2	,	97
5	,	79
5	,	53
5	,	45
4	,	67
1	,	22
3	,	14
4	,	68
4	,	86
4	,	77
4	,	70
5	,	86
4	,	78
4	,	93
2	,	78
3	,	51
1	,	19
1	,	64
4	,	35
4	,	35
5	,	95
4	,	91
4	,	91
2	,	43
5	,	59
2	,	92
1	,	62
4	,	76
1	,	47
4	,	45
5	,	19
4	,	18
1	,	20
5	,	82
4	,	53
3	,	45
4	,	76
5	,	42
1	,	53
3	,	64
2	,	63
3	,	41
5	,	92
4	,	93
5	,	56
5	,	26
4	,	41
5	,	17
4	,	15
4	,	32
2	,	70
5	,	56
5	,	75
5	,	85
4	,	60
5	,	61
5	,	38
4	,	50
5	,	68
3	,	21
1	,	83
5	,	65
1	,	63
4	,	46
4	,	75
5	,	89
4	,	24
5	,	72
5	,	53
1	,	57
4	,	82
5	,	42
4	,	49
5	,	12
5	,	84
3	,	81
1	,	40
1	,	48
5	,	34
4	,	67
4	,	100
1	,	57
5	,	38
5	,	25
4	,	85
1	,	51
5	,	98
2	,	98
5	,	90
5	,	100
3	,	11
4	,	76
2	,	65
4	,	82
4	,	69
2	,	77
5	,	83
4	,	69
5	,	12
5	,	29
5	,	15
5	,	11
5	,	17
4	,	69
5	,	45
4	,	96
5	,	59
5	,	19
5	,	87
1	,	66
5	,	84
5	,	46
5	,	41
3	,	10
3	,	88
5	,	32
5	,	56
1	,	32
1	,	74
1	,	14
4	,	56
4	,	66
5	,	85
5	,	40
5	,	92
1	,	88
4	,	25
5	,	100
3	,	39
4	,	22
4	,	96
5	,	49
3	,	90
5	,	81
5	,	56
5	,	19
5	,	28
2	,	50
5	,	47
4	,	36
1	,	19
5	,	96
5	,	40
4	,	77
5	,	39
5	,	42
4	,	44
1	,	89
5	,	23
4	,	72
5	,	22
5	,	98
3	,	82
4	,	86
2	,	87
5	,	44
1	,	13
4	,	42
4	,	54
4	,	78
3	,	50
2	,	17
5	,	43
5	,	57
3	,	25
5	,	78
5	,	10
5	,	83
4	,	89
5	,	54
4	,	85
4	,	51
4	,	11
4	,	49
2	,	96
5	,	76
4	,	99
5	,	21
1	,	47
1	,	87
3	,	36
4	,	30
5	,	80
5	,	97
5	,	23
4	,	49
5	,	54
4	,	33
1	,	68
1	,	19
5	,	51
1	,	49
1	,	40
1	,	35
1	,	69
5	,	64
1	,	51
5	,	66
1	,	63
5	,	11
5	,	11
5	,	53
3	,	21
5	,	51
5	,	87
5	,	76
5	,	36
1	,	71
3	,	73
4	,	40
1	,	32
4	,	54
4	,	64
4	,	41
4	,	84
4	,	93
1	,	52
5	,	12
5	,	63
1	,	43
1	,	98
4	,	18
4	,	84
4	,	92
5	,	28
3	,	90
5	,	95
4	,	39
4	,	15
1	,	18
2	,	59
4	,	78
5	,	25
5	,	66
1	,	44
4	,	73
5	,	30
2	,	73
5	,	39
5	,	88
2	,	88
4	,	23
4	,	92
5	,	91
5	,	64
1	,	16
4	,	79
4	,	95
5	,	58
5	,	13
3	,	69
5	,	79
4	,	84
1	,	51
2	,	71
2	,	72
5	,	90
5	,	23
3	,	82
5	,	60
4	,	35
5	,	38
1	,	47
5	,	17
1	,	81
4	,	31
2	,	49
3	,	91
4	,	75
2	,	94
1	,	79
1	,	11
5	,	60
5	,	63
1	,	64
5	,	67
1	,	25
5	,	36
1	,	13
4	,	53
5	,	35
5	,	47
1	,	12
4	,	94
5	,	73
5	,	99
4	,	96
4	,	78
3	,	69
4	,	10
3	,	39
4	,	76
5	,	29
1	,	86
5	,	51
5	,	76
5	,	74
1	,	47
2	,	33
4	,	25
3	,	22
1	,	32
2	,	85
4	,	62
4	,	43
4	,	71
2	,	89
5	,	64
3	,	80
4	,	61
2	,	28
3	,	90
5	,	50
3	,	46
5	,	45
3	,	83
5	,	81
5	,	75
5	,	65
5	,	72
5	,	74
4	,	61
5	,	32
1	,	62
4	,	19
1	,	43
5	,	95
4	,	23
4	,	57
2	,	81
4	,	41
1	,	66
1	,	40
2	,	67
5	,	68
1	,	85
4	,	47
5	,	36
2	,	65
2	,	21
5	,	43
5	,	20
5	,	39
5	,	70
4	,	77
4	,	51
4	,	83
5	,	46
1	,	27
3	,	26
5	,	40
5	,	40
5	,	78
1	,	13
2	,	32
4	,	59
2	,	43
1	,	41
5	,	83
4	,	38
1	,	81
5	,	52
1	,	97
4	,	46
5	,	62
4	,	48
4	,	62
3	,	38
3	,	20
5	,	37
4	,	84
5	,	63
5	,	42
2	,	87
2	,	33
1	,	25
4	,	20
5	,	80
3	,	51
4	,	69
4	,	70
5	,	85
5	,	71
5	,	39
2	,	24
5	,	19
4	,	95
5	,	75
1	,	11
5	,	81
2	,	97
2	,	81
2	,	24
5	,	42
4	,	12
4	,	46
5	,	87
4	,	89
4	,	92
2	,	35
