Single_Price,Single_Cost
24,15
52,50
24,15
36,32.5
24,15
52,50
24,15
20,17.5
40,32.5
23,15
55,50
38,32.5
52,50
24,15
24,15
20,17.5
24,15
18,12.5
17,12.5
19,12.5
52,50
19,12.5
20,17.5
47,50
52,50
18,17.5
55,50
55,50
18,17.5
38,32.5
36,32.5
55,50
36,32.5
36,32.5
52,50
52,50
38,32.5
55,50
52,50
50,50
24,15
32,32.5
24,15
47,50
52,50
50,50
50,50
19,12.5
34,32.5
19,12.5
20,17.5
25,15
47,50
34,32.5
24,15
47,50
47,50
52,50
40,32.5
52,50
55,50
32,32.5
52,50
36,32.5
50,50
40,32.5
18,17.5
52,50
40,32.5
55,50
19,12.5
18,17.5
50,50
36,32.5
55,50
17,17.5
47,50
24,15
52,50
20,12.5
19,17.5
21,15
52,50
52,50
19,12.5
55,50
52,50
34,32.5
20,17.5
55,50
55,50
50,50
38,32.5
50,50
38,32.5
55,50
52,50
52,50
34,32.5
52,50
23,15
55,50
52,50
20,17.5
23,15
50,50
55,50
40,32.5
18,17.5
38,32.5
24,15
52,50
40,32.5
50,50
19,17.5
55,50
34,32.5
18,17.5
50,50
17,12.5
55,50
19,12.5
18,12.5
38,32.5
55,50
50,50
21,15
32,32.5
55,50
47,50
23,15
23,15
55,50
52,50
38,32.5
55,50
24,15
36,32.5
18,12.5
19,17.5
19,12.5
47,50
38,32.5
40,32.5
18,17.5
19,12.5
34,32.5
32,32.5
50,50
21,15
52,50
52,50
20,17.5
20,17.5
47,50
18,12.5
19,17.5
52,50
50,50
52,50
52,50
36,32.5
38,32.5
21,15
40,32.5
50,50
55,50
50,50
52,50
55,50
47,50
34,32.5
55,50
52,50
47,50
38,32.5
24,15
24,15
55,50
50,50
24,15
24,15
52,50
24,15
36,32.5
44,50
24,15
23,15
38,32.5
34,32.5
38,32.5
47,50
52,50
52,50
40,32.5
52,50
36,32.5
16,17.5
55,50
19,17.5
52,50
34,32.5
19,12.5
36,32.5
52,50
52,50
55,50
24,15
55,50
47,50
25,15
38,32.5
55,50
18,12.5
23,15
52,50
50,50
17,12.5
19,17.5
52,50
40,32.5
17,17.5
20,12.5
20,12.5
52,50
20,12.5
16,17.5
52,50
50,50
34,32.5
20,15
55,50
40,32.5
