CountryID,ProductID,Total_Products_Sold
11,5,93
5,3,13
5,5,86
18,5,45
3,4,73
8,5,89
8,5,40
5,5,89
15,3,21
5,5,94
8,5,56
3,2,28
5,5,78
10,4,20
2,2,56
2,5,56
6,4,59
18,5,46
6,3,46
4,5,55
17,5,23
4,2,75
3,3,57
5,3,39
3,2,79
14,3,35
18,3,36
12,3,36
2,2,13
1,3,27
1,5,48
23,1,99
1,4,26
7,2,71
7,3,68
5,1,99
5,4,81
5,4,14
8,3,57
7,5,39
21,5,39
1,1,55
14,4,72
12,4,12
9,1,77
7,5,78
5,2,69
2,5,95
5,5,52
16,5,62
3,4,53
14,4,13
8,4,48
13,4,19
5,5,32
16,2,39
7,4,33
1,5,13
7,4,10
3,3,81
20,1,46
8,5,84
13,4,89
14,4,73
13,1,35
1,5,38
4,5,46
10,3,46
7,2,62
15,1,92
8,3,74
3,1,24
12,4,20
18,5,69
4,5,50
15,5,98
13,3,43
1,5,24
2,1,82
10,5,55
18,4,43
4,2,30
11,4,84
9,2,35
4,5,48
14,5,70
13,5,46
12,5,79
3,4,30
10,4,89
1,5,29
23,5,53
10,3,97
2,5,80
16,5,30
8,5,31
1,5,69
4,5,46
7,1,46
4,5,74
2,3,26
5,4,98
13,4,11
22,1,25
15,4,71
9,5,53
2,5,87
20,5,31
23,5,42
7,4,30
4,5,54
14,2,45
10,4,59
16,5,20
5,5,87
10,5,71
11,4,17
5,5,36
13,3,78
3,4,91
6,5,98
4,5,47
13,4,23
9,5,60
5,4,71
14,3,34
4,4,68
6,1,59
2,1,73
8,1,14
11,5,66
5,5,12
8,2,61
13,2,42
8,5,20
5,4,51
2,4,68
5,5,46
1,2,43
8,4,90
5,5,53
2,1,50
2,5,31
2,2,26
7,5,37
13,3,85
19,4,97
10,5,92
18,1,78
15,5,84
20,4,89
18,4,17
1,5,94
18,1,77
9,1,23
7,3,11
5,5,81
20,5,88
4,4,17
16,4,66
2,4,59
6,5,46
3,3,41
6,4,69
8,4,43
2,4,95
1,5,100
8,4,32
2,1,22
2,2,10
3,5,18
4,4,16
14,4,45
9,3,84
8,2,64
2,5,88
20,3,50
11,2,82
3,4,39
7,4,99
15,5,61
19,4,71
4,4,44
2,1,68
5,5,83
2,5,19
4,5,93
9,4,95
22,1,48
4,5,93
3,4,85
9,5,67
6,5,12
15,1,92
8,5,31
11,5,33
10,1,37
1,4,96
15,5,70
12,5,24
8,3,83
4,5,97
10,5,83
10,2,83
1,3,33
4,5,80
3,4,27
4,4,93
13,5,100
3,1,53
7,5,44
15,3,38
3,4,93
3,1,35
2,3,10
1,5,82
7,1,42
10,5,53
12,5,19
8,5,66
1,5,31
1,5,100
8,3,68
12,4,14
2,5,35
3,1,51
6,5,89
8,5,15
5,5,38
2,4,40
5,1,47
2,1,56
3,2,91
2,5,22
5,1,74
8,3,91
3,4,48
20,5,98
10,3,15
2,1,61
13,4,16
5,1,51
7,4,99
2,4,23
13,5,18
13,5,55
5,5,81
15,5,92
20,1,83
5,5,93
4,3,26
5,5,92
13,5,18
3,2,40
4,4,38
3,3,77
2,5,47
9,5,59
4,1,26
4,5,51
12,5,21
21,5,27
3,1,68
2,5,78
1,5,93
1,5,36
22,5,66
3,5,78
12,3,25
5,5,41
2,5,83
16,5,81
7,3,35
16,3,57
14,5,76
2,5,77
15,1,78
4,1,91
21,5,91
3,4,19
11,3,91
3,5,94
19,4,50
23,4,69
10,4,26
9,5,90
5,4,22
10,4,95
10,4,34
9,5,30
4,1,26
13,3,98
2,4,66
9,1,51
4,5,67
9,5,40
7,5,30
17,3,37
20,4,27
10,2,55
15,5,91
3,4,87
5,5,83
2,5,93
4,2,59
17,4,51
8,5,25
13,4,53
5,5,42
6,3,36
6,5,67
5,5,67
21,2,91
7,5,30
6,3,60
13,5,64
5,5,11
5,2,74
12,4,91
11,4,43
2,5,92
6,4,99
14,4,66
21,1,65
6,5,17
13,5,99
22,5,28
13,4,58
12,5,43
6,5,68
5,5,58
6,1,47
10,5,37
2,3,61
5,4,37
9,1,16
18,5,32
3,5,25
4,4,86
5,3,27
10,3,94
6,4,87
2,3,37
4,4,84
23,3,25
10,2,96
6,4,63
16,4,32
18,5,100
3,1,75
14,3,37
11,4,85
4,1,68
14,5,54
7,5,54
11,5,93
2,4,84
5,5,67
14,5,22
13,5,72
5,5,95
3,5,63
4,4,84
8,5,61
1,4,22
14,4,14
23,4,89
17,5,73
3,5,60
15,4,96
10,5,95
1,4,96
5,1,13
5,1,79
1,1,34
13,4,24
4,5,67
10,3,25
3,4,50
18,3,38
2,5,13
12,4,32
14,5,44
5,1,62
7,5,19
4,1,91
15,4,78
3,3,86
2,1,76
10,5,85
10,2,30
1,5,25
5,5,19
17,5,86
4,5,99
3,5,72
2,1,51
9,3,69
2,4,45
4,4,45
1,5,19
23,1,72
14,5,47
4,5,69
9,5,22
14,3,90
9,4,24
2,3,95
3,5,24
15,2,73
22,5,90
19,3,25
5,1,15
1,1,71
16,4,30
3,2,27
11,5,62
8,4,29
2,4,48
5,5,68
5,5,56
1,5,15
8,3,30
4,4,48
22,2,90
10,4,20
20,5,99
6,4,85
21,4,86
7,2,15
13,1,12
10,4,27
13,5,61
5,4,38
4,1,83
9,1,97
7,4,29
2,2,60
14,5,95
16,3,52
4,2,20
3,5,72
10,4,12
2,4,66
13,1,54
7,1,94
2,4,49
10,5,57
4,3,82
17,3,16
8,5,96
7,5,11
4,4,13
12,1,55
1,4,44
5,4,46
6,5,59
1,1,64
8,5,62
2,5,71
2,5,28
1,5,94
3,1,68
9,5,60
17,4,69
1,5,57
3,5,34
4,2,84
3,5,10
3,2,88
8,5,45
13,4,74
10,5,45
5,2,78
4,1,93
8,1,88
7,1,95
23,4,34
3,3,100
3,1,75
7,4,51
6,3,22
2,4,82
9,5,69
20,1,34
6,4,26
2,1,71
4,5,70
12,1,53
2,5,22
9,3,82
23,2,25
5,4,37
3,5,30
10,4,55
17,2,16
14,1,26
14,5,33
4,5,94
11,5,93
14,5,77
8,1,43
11,1,13
5,1,52
5,4,79
3,1,95
2,2,32
9,2,61
15,3,63
8,5,97
2,5,63
12,5,72
7,3,21
2,5,68
23,5,71
8,2,25
7,1,80
5,4,39
11,5,36
9,2,63
2,5,35
9,5,92
4,4,53
6,4,73
15,1,83
5,1,91
8,4,54
23,4,52
5,4,55
1,2,91
2,5,17
18,5,27
10,1,72
1,4,27
12,4,25
4,4,20
13,4,69
9,5,41
14,5,44
6,3,10
15,1,67
7,1,16
3,4,99
11,4,15
2,2,50
1,5,12
7,5,11
3,3,88
7,5,49
17,4,94
11,4,65
6,4,41
23,1,45
2,4,46
7,1,39
3,5,87
10,1,10
5,1,20
11,5,77
1,5,93
8,5,62
2,5,72
8,5,35
5,3,26
20,5,86
13,5,22
4,5,77
1,4,22
6,3,20
13,4,84
1,5,87
3,5,34
15,4,80
4,2,13
5,3,14
12,4,69
21,5,64
7,1,20
9,5,39
8,4,60
15,2,70
3,4,21
21,1,29
6,2,48
18,5,36
1,2,62
5,5,83
3,5,66
2,2,96
3,4,52
21,5,96
3,5,65
4,5,90
5,2,88
16,5,70
16,4,47
3,4,32
11,2,36
16,4,65
5,5,55
11,4,97
2,5,58
2,2,44
19,4,30
17,5,20
12,5,91
2,2,78
1,4,81
13,5,65
2,4,80
5,4,37
4,5,89
21,3,65
5,3,66
7,4,73
3,5,81
1,3,10
7,5,54
13,4,79
14,5,18
3,1,13
4,5,48
4,5,99
1,5,62
12,5,92
7,5,16
4,5,54
4,1,54
2,3,84
10,4,22
8,5,27
7,1,47
2,5,95
8,4,49
4,2,80
2,5,80
5,3,51
6,5,37
2,5,95
9,5,30
9,3,70
6,4,76
19,5,80
5,4,21
3,4,96
5,5,88
2,3,46
12,2,100
13,5,36
18,5,69
7,4,94
12,5,15
13,4,18
4,5,78
9,5,86
7,2,46
16,2,13
4,3,16
1,4,96
6,3,81
9,5,92
22,1,28
8,5,89
4,4,25
1,4,89
8,1,99
9,3,39
18,4,70
18,5,35
6,2,88
9,5,97
5,4,84
1,5,17
1,5,65
9,1,82
4,4,68
5,5,27
15,4,63
23,4,51
7,1,37
4,2,78
14,5,16
21,4,52
8,5,27
4,5,34
5,3,33
5,4,10
14,4,28
20,4,73
2,5,98
5,3,32
6,5,41
4,5,25
5,5,59
11,5,80
13,3,48
1,4,95
3,5,46
13,5,11
5,5,25
2,5,99
8,5,85
1,5,88
2,5,32
20,3,70
11,5,78
5,5,34
3,5,47
1,5,37
5,4,98
14,2,58
15,1,16
2,1,40
17,4,46
5,5,98
18,3,51
12,3,44
5,5,20
5,5,70
23,1,39
1,5,85
15,3,44
6,4,52
5,2,69
6,1,23
1,5,79
12,1,97
18,4,26
8,1,64
13,4,96
4,3,67
1,2,27
1,2,34
10,5,95
12,1,88
1,4,60
9,4,18
21,4,96
3,5,84
10,5,90
1,4,82
18,1,75
3,1,11
11,5,69
6,5,22
5,3,28
11,5,21
10,5,89
10,4,95
16,1,57
1,4,34
5,5,34
2,5,48
7,2,15
2,3,68
8,1,54
6,3,81
1,5,11
3,5,95
8,5,83
1,4,63
2,3,45
18,4,21
4,2,97
1,5,50
15,5,20
12,5,50
5,4,27
5,1,72
5,1,98
6,4,97
10,1,14
2,4,100
1,2,99
5,5,92
5,4,90
2,4,49
2,5,82
5,5,87
14,3,79
1,5,81
2,3,25
2,5,83
1,3,13
2,4,65
9,2,85
1,4,93
13,1,16
12,4,30
6,1,70
5,5,82
22,1,40
11,1,25
10,1,10
5,5,38
4,5,20
3,4,52
3,1,30
6,5,92
4,1,91
5,4,50
2,5,43
2,4,36
8,5,91
14,2,81
1,5,12
18,4,34
15,2,69
21,4,22
5,4,60
6,1,88
15,4,75
7,5,30
3,5,29
20,2,28
12,3,90
12,5,81
15,3,17
4,1,49
6,1,27
5,2,78
5,5,65
18,4,19
14,1,15
13,3,49
5,5,61
11,1,88
9,4,54
23,1,24
2,4,14
11,3,85
21,5,56
3,4,13
4,4,81
4,1,67
3,2,79
6,4,78
12,5,39
7,5,18
3,2,39
5,5,33
6,4,14
13,4,56
1,5,51
1,5,32
20,5,44
3,4,81
13,5,53
7,5,83
16,4,80
5,1,41
15,4,11
4,2,96
16,4,12
18,3,84
1,5,51
15,5,83
6,4,85
5,4,18
5,2,67
4,2,23
12,5,39
4,5,60
5,3,86
9,1,97
13,5,12
21,4,53
19,4,95
12,4,23
14,5,19
14,2,97
2,5,79
18,5,53
6,5,45
3,4,67
2,1,22
16,3,14
8,4,68
14,4,86
2,4,77
2,4,70
5,5,86
5,4,78
3,4,93
12,2,78
7,3,51
3,1,19
10,1,64
2,4,35
8,4,35
15,5,95
4,4,91
11,4,91
2,2,43
12,5,59
5,2,92
15,1,62
15,4,76
5,1,47
4,4,45
7,5,19
1,4,18
14,1,20
2,5,82
13,4,53
9,3,45
3,4,76
13,5,42
14,1,53
5,3,64
20,2,63
12,3,41
5,5,92
15,4,93
12,5,56
1,5,26
11,4,41
5,5,17
5,4,15
15,4,32
3,2,70
9,5,56
14,5,75
9,5,85
9,4,60
18,5,61
3,5,38
4,4,50
5,5,68
19,3,21
16,1,83
14,5,65
21,1,63
17,4,46
10,4,75
10,5,89
8,4,24
3,5,72
13,5,53
10,1,57
10,4,82
18,5,42
14,4,49
1,5,12
2,5,84
4,3,81
2,1,40
23,1,48
8,5,34
2,4,67
17,4,100
21,1,57
7,5,38
2,5,25
3,4,85
21,1,51
1,5,98
5,2,98
5,5,90
4,5,100
11,3,11
9,4,76
6,2,65
11,4,82
20,4,69
2,2,77
5,5,83
7,4,69
4,5,12
2,5,29
2,5,15
2,5,11
10,5,17
1,4,69
20,5,45
21,4,96
10,5,59
14,5,19
19,5,87
5,1,66
8,5,84
9,5,46
3,5,41
12,3,10
9,3,88
10,5,32
18,5,56
5,1,32
15,1,74
10,1,14
10,4,56
1,4,66
8,5,85
4,5,40
13,5,92
19,1,88
4,4,25
6,5,100
4,3,39
18,4,22
9,4,96
3,5,49
2,3,90
2,5,81
14,5,56
6,5,19
14,5,28
5,2,50
21,5,47
15,4,36
6,1,19
10,5,96
5,5,40
2,4,77
14,5,39
10,5,42
6,4,44
5,1,89
6,5,23
15,4,72
15,5,22
15,5,98
7,3,82
3,4,86
3,2,87
2,5,44
2,1,13
22,4,42
1,4,54
2,4,78
1,3,50
4,2,17
5,5,43
3,5,57
8,3,25
6,5,78
3,5,10
11,5,83
3,4,89
10,5,54
3,4,85
9,4,51
2,4,11
3,4,49
9,2,96
15,5,76
5,4,99
8,5,21
7,1,47
19,1,87
15,3,36
10,4,30
17,5,80
9,5,97
11,5,23
2,4,49
5,5,54
11,4,33
23,1,68
22,1,19
19,5,51
13,1,49
6,1,40
2,1,35
11,1,69
22,5,64
12,1,51
23,5,66
14,1,63
4,5,11
2,5,11
5,5,53
19,3,21
11,5,51
8,5,87
3,5,76
2,5,36
10,1,71
2,3,73
5,4,40
4,1,32
4,4,54
4,4,64
6,4,41
9,4,84
3,4,93
14,1,52
2,5,12
4,5,63
6,1,43
12,1,98
5,4,18
18,4,84
14,4,92
2,5,28
5,3,90
14,5,95
7,4,39
18,4,15
2,1,18
7,2,59
13,4,78
6,5,25
1,5,66
14,1,44
10,4,73
1,5,30
2,2,73
3,5,39
23,5,88
16,2,88
4,4,23
7,4,92
9,5,91
22,5,64
11,1,16
14,4,79
6,4,95
2,5,58
5,5,13
3,3,69
7,5,79
4,4,84
20,1,51
5,2,71
10,2,72
15,5,90
17,5,23
14,3,82
4,5,60
10,4,35
14,5,38
8,1,47
8,5,17
6,1,81
1,4,31
12,2,49
1,3,91
3,4,75
5,2,94
23,1,79
9,1,11
3,5,60
8,5,63
3,1,64
4,5,67
18,1,25
4,5,36
7,1,13
10,4,53
9,5,35
4,5,47
